case,a,b,c,d,paired_alpha,paired_beta,paired_gamma,paired_delta,p,q,r,source_class,inside_source_conjecture_instance,table_condition_max_is_r_min_is_2,A_degree,B_pair_degree,A_min_coefficient,B_pair_min_coefficient,A_side_count_A_at_1,B_side_count_B_at_1,A_coefficients_sha256,B_pair_coefficients_sha256,product_equals_target,target_pqr,qualifies_as_counterexample_instance
1111,1,1,1,1,1,1,1,1,3,5,11,source_table_conditional,True,False,161,169,0,0,225,121,16f7f2b5ac0bc3e3b8f2511b3cbe50efc54bd80ca501dd4b9eaf33aba5a3d78e,0ef60c05eb411adee6f41c86daf969b4aaa74a4b41f9670bb7ba4d286e9dfe20,True,165,True
1111,1,1,1,1,1,1,1,1,3,5,13,source_table_conditional,True,False,189,201,0,0,225,169,fc03a4289705c00c2ad830ac8493debb46d20c61cee868af8506722f146cb88d,24c8514f2eff06de2e0e62ea3db3a977ed487155f270f34e369bce6b5c6c929e,True,195,True
1111,1,1,1,1,1,1,1,1,3,5,17,source_table_conditional,True,False,245,265,0,0,225,289,6626013052387a80cb3ce034f1c35060229b385a0d7b4d1471f4ac2c6a71de6e,dd1ef380aa904bea8d7712334be2be310adc62348e165cc3effad3c61435a850,True,255,True
1111,1,1,1,1,1,1,1,1,3,7,13,source_table_conditional,True,False,269,277,0,0,441,169,5df3302b0e3fb06c31ae4575606e1a504224cd4033a62a96aa61cce91b0fcf84,8081dd35d393a61d0868ebecf7e5aae550312e46839b273b5fe46f5cbf5d244e,True,273,True
1111,1,1,1,1,1,1,1,1,3,7,17,source_table_conditional,True,False,349,365,0,0,441,289,1585e3c1dd5142bbdfa47e11eb6884c325811c54313c7e1ff6491f7ae0ce6f48,adccf9936abcb88ffca7e511027edb8579b740c90d67b7f62b6a68ba52c0faaf,True,357,True
1111,1,1,1,1,1,1,1,1,3,11,17,source_table_conditional,True,False,557,565,0,0,1089,289,aeea94d2ffbefd98f19222e46d139d5de982e3a1e6ffc3de5bfe630c24b14b33,627e791a83b14972b4eb4a6f2f1e600cfc199e2f20b20508bc930a2998247937,True,561,True
1111,1,1,1,1,1,1,1,1,5,3,11,source_table_conditional,True,False,161,169,0,0,225,121,16f7f2b5ac0bc3e3b8f2511b3cbe50efc54bd80ca501dd4b9eaf33aba5a3d78e,0ef60c05eb411adee6f41c86daf969b4aaa74a4b41f9670bb7ba4d286e9dfe20,True,165,True
1111,1,1,1,1,1,1,1,1,5,3,13,source_table_conditional,True,False,189,201,0,0,225,169,fc03a4289705c00c2ad830ac8493debb46d20c61cee868af8506722f146cb88d,24c8514f2eff06de2e0e62ea3db3a977ed487155f270f34e369bce6b5c6c929e,True,195,True
1111,1,1,1,1,1,1,1,1,5,3,17,source_table_conditional,True,False,245,265,0,0,225,289,6626013052387a80cb3ce034f1c35060229b385a0d7b4d1471f4ac2c6a71de6e,dd1ef380aa904bea8d7712334be2be310adc62348e165cc3effad3c61435a850,True,255,True
1111,1,1,1,1,1,1,1,1,5,7,17,source_table_conditional,True,False,589,601,0,0,1225,289,715ab124e613a9a8ab86a08f6ad4db19f83b909bae75c8d6a03bada516aa4c97,724fe9b4788f5ac218d66260792faee5c927b8da066f0693c81dddc8e419f4a5,True,595,True
1111,1,1,1,1,1,1,1,1,7,3,13,source_table_conditional,True,False,269,277,0,0,441,169,5df3302b0e3fb06c31ae4575606e1a504224cd4033a62a96aa61cce91b0fcf84,8081dd35d393a61d0868ebecf7e5aae550312e46839b273b5fe46f5cbf5d244e,True,273,True
1111,1,1,1,1,1,1,1,1,7,3,17,source_table_conditional,True,False,349,365,0,0,441,289,1585e3c1dd5142bbdfa47e11eb6884c325811c54313c7e1ff6491f7ae0ce6f48,adccf9936abcb88ffca7e511027edb8579b740c90d67b7f62b6a68ba52c0faaf,True,357,True
1111,1,1,1,1,1,1,1,1,7,5,17,source_table_conditional,True,False,589,601,0,0,1225,289,715ab124e613a9a8ab86a08f6ad4db19f83b909bae75c8d6a03bada516aa4c97,724fe9b4788f5ac218d66260792faee5c927b8da066f0693c81dddc8e419f4a5,True,595,True
1111,1,1,1,1,1,1,1,1,11,3,17,source_table_conditional,True,False,557,565,0,0,1089,289,aeea94d2ffbefd98f19222e46d139d5de982e3a1e6ffc3de5bfe630c24b14b33,627e791a83b14972b4eb4a6f2f1e600cfc199e2f20b20508bc930a2998247937,True,561,True
2121,2,1,2,1,0,1,0,1,3,2,7,source_remaining_conjecture_case,True,,47,37,0,0,36,49,60dd8a377c3271f16e14ff08ac15e52d2158238423c4c339bd947de40c17e97c,b9b955a15f9264c150546cd3e8f8cc220c957b815649b1fb29614e0af7f502ed,True,42,True
2121,2,1,2,1,0,1,0,1,3,2,13,source_remaining_conjecture_case,True,,83,73,0,0,36,169,0baad85afa0de2f51aa03035ad13dfaa01550b015657b499bd5acc886e5fa5a5,f4c9d377b9b4358dbf32c636611e7293ce191f649e62e87c37fbf3a28589ccf6,True,78,True
2121,2,1,2,1,0,1,0,1,5,2,11,source_remaining_conjecture_case,True,,119,101,0,0,100,121,c253069512c4a14dfe4203858d00abcfe37052443ee0687a80d0af758690efc1,f2de1cafd0a1eda23d625425f709afbf2bec1e7a9aeda0c57df58931eed6eb40,True,110,True
2211,2,2,1,1,0,0,1,1,2,3,7,source_remaining_conjecture_case,True,,47,37,0,0,36,49,60dd8a377c3271f16e14ff08ac15e52d2158238423c4c339bd947de40c17e97c,b9b955a15f9264c150546cd3e8f8cc220c957b815649b1fb29614e0af7f502ed,True,42,True
2211,2,2,1,1,0,0,1,1,2,3,13,source_remaining_conjecture_case,True,,83,73,0,0,36,169,0baad85afa0de2f51aa03035ad13dfaa01550b015657b499bd5acc886e5fa5a5,f4c9d377b9b4358dbf32c636611e7293ce191f649e62e87c37fbf3a28589ccf6,True,78,True
2211,2,2,1,1,0,0,1,1,2,5,11,source_remaining_conjecture_case,True,,119,101,0,0,100,121,c253069512c4a14dfe4203858d00abcfe37052443ee0687a80d0af758690efc1,f2de1cafd0a1eda23d625425f709afbf2bec1e7a9aeda0c57df58931eed6eb40,True,110,True
